지점,지점명,일시,기온(°C),기온 QC플래그,일조(hr),일조 QC플래그,일사(MJ/m2),일사 QC플래그,전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),지면온도(°C),지면온도 QC플래그,5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
259,강진군,2021-10-01 0:00,19.9,,,9,,9,7,4,,,21.7,,23.2,23.8,24.5,24.6
259,강진군,2021-10-01 1:00,20,,,9,,9,6,4,,,21.9,,23.1,23.6,24.4,24.6
259,강진군,2021-10-01 2:00,20.2,,,9,,9,7,4,,,22,,23,23.6,24.3,24.5
259,강진군,2021-10-01 3:00,19.9,,,9,,9,7,4,,,22,,23,23.5,24.2,24.5
259,강진군,2021-10-01 4:00,19.6,,,9,,9,9,4,,,21.8,,22.9,23.5,24.1,24.4
259,강진군,2021-10-01 5:00,19.6,,,9,,9,7,4,,,21.7,,22.8,23.4,24.1,24.4
259,강진군,2021-10-01 6:00,19.1,,,9,,9,6,4,,,21.6,,22.7,23.3,24,24.4
259,강진군,2021-10-01 7:00,19.3,,0,,0.02,,7,4,,,21.6,,22.6,23.2,24,24.3
259,강진군,2021-10-01 8:00,19.7,,0,,0.2,,0,0,,,22,,22.6,23.2,23.9,24.3
259,강진군,2021-10-01 9:00,22,,0.5,,1.06,,,4,,,25.2,,22.7,23.2,23.8,24.2
259,강진군,2021-10-01 10:00,22.7,,0.5,,1.46,,8,4,,,26.4,,23.2,23.7,23.8,24.2
259,강진군,2021-10-01 11:00,24,,0.5,,1.94,,7,4,,,28.1,,23.9,24.4,23.9,24.2
259,강진군,2021-10-01 12:00,25,,1,,2.86,,2,2,,,29.9,,25.2,25.4,24,24.2
259,강진군,2021-10-01 13:00,26.5,,1,,2.89,,0,0,,,32.1,,26.4,26.5,24.2,24.2
259,강진군,2021-10-01 14:00,27.3,,1,,2.77,,0,0,,,31.4,,27.2,27.3,24.5,24.2
259,강진군,2021-10-01 15:00,28,,1,,2.37,,0,0,,,30.8,,27.9,27.9,24.8,24.3
259,강진군,2021-10-01 16:00,28.2,,1,,1.76,,0,0,,,27.2,,27.8,27.9,25,24.4
259,강진군,2021-10-01 17:00,27.3,,1,,1.06,,0,0,,,25.6,,27.2,27.4,25.1,24.5
259,강진군,2021-10-01 18:00,25.6,,0.8,,0.35,,0,0,,,24,,26.2,26.7,25.2,24.6
259,강진군,2021-10-01 19:00,23.1,,0,,0.01,,0,0,,,23.1,,25.3,25.9,25.2,24.7
259,강진군,2021-10-01 20:00,22.3,,,9,,9,0,0,,,22.4,,24.7,25.3,25.2,24.8
259,강진군,2021-10-01 21:00,20.7,,,9,,9,0,0,,,21.8,,24.1,24.8,25.1,24.8
259,강진군,2021-10-01 22:00,19.6,,,9,,9,0,0,,,21.3,,23.7,24.3,24.9,24.8
259,강진군,2021-10-01 23:00,19.1,,,9,,9,4,4,,,20.8,,23.3,23.9,24.8,24.8
259,강진군,2021-10-02 0:00,19.2,,,9,,9,0,0,,,20.5,,22.9,23.6,24.6,24.8
259,강진군,2021-10-02 1:00,19.6,,,9,,9,0,0,,,20.3,,22.7,23.3,24.5,24.7
259,강진군,2021-10-02 2:00,18.5,,,9,,9,0,0,,,19.9,,22.4,23,24.3,24.7
259,강진군,2021-10-02 3:00,17.6,,,9,,9,0,0,,,19.5,,22.1,22.7,24.2,24.6
