"TEST_DATA_ID","TEST_ID","REQ_ID","LOC_ID","SOC","REMAIN_FULL_SOC_TIME","VOLTAGE","CURRENT","REGIST_DT"
"8065934","1147","1692582601","59","42.000","4140","448.40","0.00","2023-08-21 10:50:13"
"8065935","1147","1692582601","59","42.000","4140","448.50","5.80","2023-08-21 10:50:13"
"8065936","1147","1692582601","59","42.000","4140","448.80","4.00","2023-08-21 10:50:13"
"8065937","1147","1692582601","59","42.000","4140","449.20","3.50","2023-08-21 10:50:13"
"8065938","1147","1692582601","59","42.000","4140","449.60","3.00","2023-08-21 10:50:14"
"8065939","1147","1692582601","59","42.000","4140","449.90","2.80","2023-08-21 10:50:14"
"8065940","1147","1692582601","59","42.000","4140","450.10","3.00","2023-08-21 10:50:14"
"8065941","1147","1692582601","59","42.000","4140","450.30","4.40","2023-08-21 10:50:14"
"8065942","1147","1692582601","59","42.000","4140","450.50","5.80","2023-08-21 10:50:14"
"8065943","1147","1692582601","59","42.000","4140","450.60","7.50","2023-08-21 10:50:15"
"8065944","1147","1692582601","59","42.000","4140","450.80","9.40","2023-08-21 10:50:15"
"8065945","1147","1692582601","59","42.000","4140","450.90","11.20","2023-08-21 10:50:15"
"8065946","1147","1692582601","59","42.000","4140","451.00","13.40","2023-08-21 10:50:15"
"8065947","1147","1692582601","59","42.000","4140","451.20","15.30","2023-08-21 10:50:16"
"8065948","1147","1692582601","59","42.000","4140","451.30","17.00","2023-08-21 10:50:16"
"8065949","1147","1692582601","59","42.000","4140","451.40","19.30","2023-08-21 10:50:16"
"8065950","1147","1692582601","59","42.000","4140","451.50","21.40","2023-08-21 10:50:16"
"8065951","1147","1692582601","59","42.000","4140","451.50","23.20","2023-08-21 10:50:16"
"8065952","1147","1692582601","59","42.000","4140","451.50","25.40","2023-08-21 10:50:17"
"8065953","1147","1692582601","59","42.000","4140","451.60","27.20","2023-08-21 10:50:17"
"8065954","1147","1692582601","59","42.000","4140","451.60","29.10","2023-08-21 10:50:17"
"8065955","1147","1692582601","59","42.000","4140","451.60","31.60","2023-08-21 10:50:17"
"8065956","1147","1692582601","59","42.000","4140","451.60","33.30","2023-08-21 10:50:17"
"8065957","1147","1692582601","59","42.000","4140","451.60","35.30","2023-08-21 10:50:18"
"8065958","1147","1692582601","59","42.000","4140","451.70","37.20","2023-08-21 10:50:18"
"8065959","1147","1692582601","59","42.000","4140","451.70","39.00","2023-08-21 10:50:18"
"8065960","1147","1692582601","59","42.000","4140","451.70","41.40","2023-08-21 10:50:18"
"8065961","1147","1692582601","59","42.000","4140","451.80","43.20","2023-08-21 10:50:18"
"8065962","1147","1692582601","59","42.000","4140","451.80","45.00","2023-08-21 10:50:18"
"8065963","1147","1692582601","59","42.000","4140","451.80","47.40","2023-08-21 10:50:19"
"8065964","1147","1692582601","59","42.000","4140","451.90","49.20","2023-08-21 10:50:19"
"8065965","1147","1692582601","59","42.000","4140","451.90","51.10","2023-08-21 10:50:19"
"8065966","1147","1692582601","59","42.000","4140","451.90","53.60","2023-08-21 10:50:19"
"8065967","1147","1692582601","59","42.000","4140","451.90","55.30","2023-08-21 10:50:20"
"8065968","1147","1692582601","59","42.000","4140","452.00","57.20","2023-08-21 10:50:20"
"8065969","1147","1692582601","59","42.000","4140","452.00","59.20","2023-08-21 10:50:20"
"8065970","1147","1692582601","59","42.000","4140","452.00","61.00","2023-08-21 10:50:20"
"8065971","1147","1692582601","59","42.000","4140","452.10","63.50","2023-08-21 10:50:20"
"8065972","1147","1692582601","59","42.000","4140","452.10","65.30","2023-08-21 10:50:21"
"8065973","1147","1692582601","59","42.000","4140","452.10","67.10","2023-08-21 10:50:21"
"8065974","1147","1692582601","59","42.000","4140","452.20","69.40","2023-08-21 10:50:21"
"8065975","1147","1692582601","59","42.000","4140","452.20","71.20","2023-08-21 10:50:21"
"8065976","1147","1692582601","59","42.000","4140","452.20","73.00","2023-08-21 10:50:21"
"8065977","1147","1692582601","59","42.000","4140","452.30","75.30","2023-08-21 10:50:22"
"8065978","1147","1692582601","59","42.000","4140","452.30","77.30","2023-08-21 10:50:22"
"8065979","1147","1692582601","59","42.000","4140","452.30","79.20","2023-08-21 10:50:22"
"8065980","1147","1692582601","59","42.000","4140","452.40","81.40","2023-08-21 10:50:22"
"8065981","1147","1692582601","59","42.000","4140","452.40","83.20","2023-08-21 10:50:22"
"8065982","1147","1692582601","59","42.000","4140","452.40","85.30","2023-08-21 10:50:22"
"8065983","1147","1692582601","59","42.000","4140","452.40","87.20","2023-08-21 10:50:23"
"8065984","1147","1692582601","59","42.000","4140","452.40","89.00","2023-08-21 10:50:23"
"8065985","1147","1692582601","59","42.000","4140","452.50","91.60","2023-08-21 10:50:23"
"8065986","1147","1692582601","59","42.000","4140","452.50","93.30","2023-08-21 10:50:23"
"8065987","1147","1692582601","59","42.000","4140","452.50","95.10","2023-08-21 10:50:24"
"8065988","1147","1692582601","59","42.000","4140","452.60","97.30","2023-08-21 10:50:24"
"8065989","1147","1692582601","59","42.000","4140","452.60","99.50","2023-08-21 10:50:24"
"8065990","1147","1692582601","59","42.000","4140","452.70","101.30","2023-08-21 10:50:24"
"8065991","1147","1692582601","59","42.000","4140","452.70","103.20","2023-08-21 10:50:25"
"8065992","1147","1692582601","59","42.000","4140","452.70","105.00","2023-08-21 10:50:25"
"8065993","1147","1692582601","59","42.000","4140","452.80","107.40","2023-08-21 10:50:25"
"8065994","1147","1692582601","59","42.000","4140","452.80","108.10","2023-08-21 10:50:25"
"8065995","1147","1692582601","59","42.000","4140","452.80","108.60","2023-08-21 10:50:25"
"8065996","1147","1692582601","59","42.000","4140","452.80","109.00","2023-08-21 10:50:25"
"8065997","1147","1692582601","59","42.000","4140","452.80","109.20","2023-08-21 10:50:25"
"8065998","1147","1692582601","59","42.000","4140","452.80","109.40","2023-08-21 10:50:26"
"8065999","1147","1692582601","59","42.000","4140","452.80","109.50","2023-08-21 10:50:26"
"8066000","1147","1692582601","59","42.000","4140","452.80","109.60","2023-08-21 10:50:26"
"8066001","1147","1692582601","59","42.000","4140","452.80","109.70","2023-08-21 10:50:26"
"8066002","1147","1692582601","59","42.000","4140","452.90","109.80","2023-08-21 10:50:27"
"8066003","1147","1692582601","59","42.000","4140","452.90","109.80","2023-08-21 10:50:27"
"8066004","1147","1692582601","59","42.000","4140","452.90","109.80","2023-08-21 10:50:27"
"8066005","1147","1692582601","59","42.000","4140","452.90","109.80","2023-08-21 10:50:27"
