epoch	train_loss	val_loss	lr
1	4.13e-02	1.77e-02	2.000000e-04
2	2.45e-02	8.90e-02	4.000000e-04
3	3.02e-02	6.69e-02	6.000000e-04
4	2.72e-02	1.16e-01	8.000000e-04
5	3.07e-02	4.36e-02	1.000000e-03
6	3.40e-02	2.12e-02	1.000000e-03
7	2.37e-02	1.74e-02	9.987832e-04
8	1.60e-02	1.50e-02	9.951389e-04
9	1.51e-02	1.88e-02	9.890847e-04
10	1.46e-02	2.68e-02	9.806502e-04
11	1.75e-02	1.51e-02	9.698765e-04
12	1.55e-02	1.67e-02	9.568160e-04
13	1.55e-02	1.54e-02	9.415323e-04
14	1.48e-02	1.86e-02	9.241000e-04
15	1.55e-02	1.39e-02	9.046040e-04
16	1.46e-02	1.61e-02	8.831392e-04
17	1.48e-02	1.45e-02	8.598102e-04
18	1.50e-02	1.62e-02	8.347307e-04
19	1.54e-02	2.24e-02	8.080229e-04
20	1.71e-02	2.55e-02	7.798169e-04
21	1.47e-02	1.52e-02	7.502500e-04
22	1.44e-02	1.53e-02	7.194664e-04
23	1.53e-02	1.44e-02	6.876160e-04
24	1.64e-02	1.50e-02	6.548540e-04
25	1.76e-02	1.85e-02	6.213400e-04
26	1.41e-02	1.46e-02	5.872373e-04
27	1.43e-02	1.39e-02	5.527120e-04
28	1.42e-02	2.12e-02	5.179323e-04
29	1.47e-02	1.75e-02	4.830677e-04
30	1.40e-02	1.40e-02	4.482880e-04
31	1.37e-02	1.53e-02	4.137627e-04
32	1.34e-02	1.61e-02	3.796600e-04
33	1.33e-02	1.31e-02	3.461460e-04
34	1.38e-02	1.89e-02	3.133840e-04
35	1.32e-02	1.63e-02	2.815336e-04
36	1.36e-02	1.77e-02	2.507500e-04
37	1.30e-02	1.27e-02	2.211831e-04
38	1.34e-02	1.29e-02	1.929771e-04
39	1.30e-02	1.73e-02	1.662693e-04
40	1.29e-02	1.29e-02	1.411898e-04
41	1.36e-02	1.35e-02	1.178608e-04
42	1.29e-02	1.66e-02	9.639601e-05
43	1.28e-02	1.54e-02	7.689998e-05
44	1.26e-02	1.44e-02	5.946768e-05
45	1.26e-02	1.54e-02	4.418404e-05
46	1.25e-02	1.53e-02	3.112354e-05
47	1.24e-02	1.51e-02	2.034978e-05
48	1.24e-02	1.52e-02	1.191527e-05
49	1.24e-02	1.52e-02	5.861100e-06
50	1.24e-02	1.51e-02	2.216757e-06
