epoch	train_loss	val_loss	lr
1	3.52e-04	8.03e-04	2.000000e-05
2	5.56e-04	3.34e-04	4.000000e-05
3	3.20e-04	4.13e-04	6.000000e-05
4	7.15e-04	8.11e-04	8.000000e-05
5	3.18e-04	5.15e-04	1.000000e-04
6	2.94e-04	5.40e-04	1.000000e-04
7	3.20e-04	3.69e-04	9.987942e-05
8	3.65e-04	6.54e-04	9.951827e-05
9	3.00e-04	4.03e-04	9.891831e-05
10	2.99e-04	5.24e-04	9.808245e-05
11	2.81e-04	1.05e-03	9.701478e-05
12	3.73e-04	3.03e-04	9.572050e-05
13	2.98e-04	5.66e-04	9.420591e-05
14	3.07e-04	4.61e-04	9.247838e-05
15	2.73e-04	7.85e-04	9.054634e-05
16	3.25e-04	3.37e-04	8.841920e-05
17	2.97e-04	3.68e-04	8.610732e-05
18	2.55e-04	4.71e-04	8.362197e-05
19	2.71e-04	3.36e-04	8.097524e-05
20	3.58e-04	4.82e-04	7.818005e-05
21	2.89e-04	3.55e-04	7.525000e-05
22	2.68e-04	3.71e-04	7.219937e-05
23	2.60e-04	3.02e-04	6.904303e-05
24	2.36e-04	2.72e-04	6.579634e-05
25	2.45e-04	2.56e-04	6.247513e-05
26	2.26e-04	3.51e-04	5.909558e-05
27	2.69e-04	2.66e-04	5.567416e-05
28	2.34e-04	2.30e-04	5.222753e-05
29	2.27e-04	2.04e-03	4.877247e-05
30	2.77e-04	4.30e-04	4.532584e-05
31	2.30e-04	2.99e-04	4.190442e-05
32	2.39e-04	4.13e-04	3.852487e-05
33	2.08e-04	2.33e-04	3.520366e-05
34	1.99e-04	2.04e-04	3.195697e-05
35	2.03e-04	1.86e-04	2.880063e-05
36	2.02e-04	2.84e-04	2.575000e-05
37	1.96e-04	2.37e-04	2.281995e-05
38	1.92e-04	3.03e-04	2.002476e-05
39	1.95e-04	2.94e-04	1.737803e-05
40	1.91e-04	2.49e-04	1.489268e-05
41	1.86e-04	3.99e-04	1.258080e-05
42	1.98e-04	3.07e-04	1.045366e-05
43	1.88e-04	2.56e-04	8.521619e-06
44	1.84e-04	2.58e-04	6.794094e-06
45	1.83e-04	2.62e-04	5.279500e-06
46	1.81e-04	2.43e-04	3.985215e-06
47	1.83e-04	2.68e-04	2.917546e-06
48	1.80e-04	2.69e-04	2.081694e-06
49	1.80e-04	2.61e-04	1.481731e-06
50	1.80e-04	2.61e-04	1.120580e-06
