epoch	train_loss	val_loss	lr
1	1.86e-03	7.64e-04	2.000000e-05
2	1.98e-03	8.92e-04	4.000000e-05
3	1.88e-03	8.61e-04	6.000000e-05
4	1.86e-03	7.92e-04	8.000000e-05
5	1.94e-03	7.49e-04	1.000000e-04
6	1.86e-03	6.01e-04	1.000000e-04
7	1.87e-03	5.83e-04	9.987942e-05
8	1.77e-03	7.68e-04	9.951827e-05
9	1.82e-03	5.84e-04	9.891831e-05
10	1.81e-03	5.98e-04	9.808245e-05
11	1.79e-03	5.65e-04	9.701478e-05
12	1.80e-03	5.80e-04	9.572050e-05
13	1.83e-03	6.07e-04	9.420591e-05
14	1.82e-03	6.22e-04	9.247838e-05
15	1.75e-03	6.29e-04	9.054634e-05
16	1.76e-03	6.23e-04	8.841920e-05
17	1.78e-03	5.61e-04	8.610732e-05
18	1.78e-03	5.60e-04	8.362197e-05
19	1.75e-03	5.54e-04	8.097524e-05
20	1.76e-03	5.57e-04	7.818005e-05
21	1.73e-03	4.81e-04	7.525000e-05
22	1.72e-03	4.17e-04	7.219937e-05
23	1.66e-03	4.04e-04	6.904303e-05
24	1.68e-03	3.64e-04	6.579634e-05
25	1.62e-03	6.98e-04	6.247513e-05
26	1.68e-03	3.52e-04	5.909558e-05
27	1.65e-03	3.69e-04	5.567416e-05
28	1.62e-03	3.53e-04	5.222753e-05
29	1.59e-03	3.26e-04	4.877247e-05
30	1.60e-03	3.58e-04	4.532584e-05
31	1.61e-03	3.67e-04	4.190442e-05
32	1.58e-03	3.33e-04	3.852487e-05
33	1.59e-03	3.59e-04	3.520366e-05
34	1.58e-03	3.53e-04	3.195697e-05
35	1.58e-03	3.85e-04	2.880063e-05
36	1.57e-03	3.51e-04	2.575000e-05
37	1.56e-03	3.35e-04	2.281995e-05
38	1.57e-03	3.43e-04	2.002476e-05
39	1.56e-03	3.32e-04	1.737803e-05
40	1.56e-03	3.34e-04	1.489268e-05
41	1.56e-03	3.40e-04	1.258080e-05
42	1.55e-03	3.32e-04	1.045366e-05
43	1.55e-03	3.33e-04	8.521619e-06
44	1.55e-03	3.36e-04	6.794094e-06
45	1.54e-03	3.39e-04	5.279500e-06
46	1.54e-03	3.39e-04	3.985215e-06
47	1.54e-03	3.38e-04	2.917546e-06
48	1.54e-03	3.39e-04	2.081694e-06
49	1.54e-03	3.38e-04	1.481731e-06
50	1.54e-03	3.39e-04	1.120580e-06
1	2.03e-03	6.56e-03	2.000000e-05
2	1.99e-03	5.74e-03	4.000000e-05
3	1.96e-03	1.06e-02	6.000000e-05
4	2.18e-03	1.08e-02	8.000000e-05
5	1.84e-03	7.75e-03	1.000000e-04
6	2.02e-03	6.87e-03	1.000000e-04
7	1.68e-03	6.94e-03	9.987942e-05
8	1.68e-03	1.50e-02	9.951827e-05
9	2.12e-03	9.57e-03	9.891831e-05
10	1.71e-03	7.04e-03	9.808245e-05
11	1.75e-03	1.06e-02	9.701478e-05
12	1.82e-03	8.46e-03	9.572050e-05
13	1.80e-03	6.58e-03	9.420591e-05
14	1.74e-03	8.69e-03	9.247838e-05
15	1.73e-03	8.47e-03	9.054634e-05
16	1.65e-03	6.07e-03	8.841920e-05
17	1.71e-03	6.99e-03	8.610732e-05
18	1.67e-03	6.25e-03	8.362197e-05
19	1.71e-03	6.92e-03	8.097524e-05
20	1.61e-03	7.35e-03	7.818005e-05
21	1.69e-03	9.98e-03	7.525000e-05
22	1.52e-03	8.45e-03	7.219937e-05
23	1.51e-03	7.29e-03	6.904303e-05
24	1.48e-03	6.94e-03	6.579634e-05
25	1.63e-03	1.01e-02	6.247513e-05
26	1.52e-03	8.43e-03	5.909558e-05
27	1.51e-03	7.55e-03	5.567416e-05
28	1.41e-03	1.09e-02	5.222753e-05
29	1.50e-03	7.14e-03	4.877247e-05
30	1.42e-03	9.44e-03	4.532584e-05
31	1.45e-03	9.06e-03	4.190442e-05
32	1.40e-03	7.70e-03	3.852487e-05
33	1.47e-03	8.14e-03	3.520366e-05
34	1.43e-03	7.77e-03	3.195697e-05
35	1.43e-03	8.11e-03	2.880063e-05
36	1.40e-03	9.47e-03	2.575000e-05
37	1.42e-03	9.04e-03	2.281995e-05
38	1.41e-03	8.46e-03	2.002476e-05
39	1.38e-03	8.43e-03	1.737803e-05
40	1.39e-03	8.61e-03	1.489268e-05
41	1.39e-03	8.26e-03	1.258080e-05
42	1.37e-03	8.23e-03	1.045366e-05
43	1.36e-03	8.45e-03	8.521619e-06
44	1.36e-03	8.54e-03	6.794094e-06
45	1.35e-03	8.55e-03	5.279500e-06
46	1.36e-03	8.57e-03	3.985215e-06
47	1.35e-03	8.62e-03	2.917546e-06
48	1.35e-03	8.60e-03	2.081694e-06
49	1.35e-03	8.56e-03	1.481731e-06
50	1.35e-03	8.57e-03	1.120580e-06
