epoch	train_loss	val_loss	lr
1	3.94e-04	1.85e-04	2.000000e-05
2	5.01e-04	2.23e-04	4.000000e-05
3	6.50e-04	2.46e-04	6.000000e-05
4	3.38e-04	3.01e-04	8.000000e-05
5	4.33e-04	2.81e-04	1.000000e-04
6	3.57e-04	2.03e-04	1.000000e-04
7	2.97e-04	1.33e-04	9.987942e-05
8	3.83e-04	4.78e-04	9.951827e-05
9	3.14e-04	3.62e-04	9.891831e-05
10	3.32e-04	1.91e-04	9.808245e-05
11	3.04e-04	1.70e-04	9.701478e-05
12	3.02e-04	1.56e-04	9.572050e-05
13	3.22e-04	1.88e-04	9.420591e-05
14	2.92e-04	1.47e-04	9.247838e-05
15	2.91e-04	2.72e-04	9.054634e-05
16	3.25e-04	1.98e-04	8.841920e-05
17	3.45e-04	2.04e-04	8.610732e-05
18	2.83e-04	1.61e-04	8.362197e-05
19	3.11e-04	1.94e-04	8.097524e-05
20	2.84e-04	2.28e-04	7.818005e-05
21	2.90e-04	2.36e-04	7.525000e-05
22	2.56e-04	2.52e-04	7.219937e-05
23	2.86e-04	2.87e-04	6.904303e-05
24	2.85e-04	3.01e-04	6.579634e-05
25	2.76e-04	1.74e-04	6.247513e-05
26	2.59e-04	1.76e-04	5.909558e-05
27	2.54e-04	2.24e-04	5.567416e-05
28	2.49e-04	2.40e-04	5.222753e-05
29	2.57e-04	1.69e-04	4.877247e-05
30	2.26e-04	1.62e-04	4.532584e-05
31	2.42e-04	1.61e-04	4.190442e-05
32	2.32e-04	2.27e-04	3.852487e-05
33	2.21e-04	1.93e-04	3.520366e-05
34	2.25e-04	2.25e-04	3.195697e-05
35	2.31e-04	1.80e-04	2.880063e-05
36	2.11e-04	1.92e-04	2.575000e-05
37	2.13e-04	1.92e-04	2.281995e-05
38	2.05e-04	1.47e-04	2.002476e-05
39	2.01e-04	1.61e-04	1.737803e-05
40	2.05e-04	1.61e-04	1.489268e-05
41	1.99e-04	1.79e-04	1.258080e-05
42	2.10e-04	1.71e-04	1.045366e-05
43	2.01e-04	1.54e-04	8.521619e-06
44	1.98e-04	1.64e-04	6.794094e-06
45	1.98e-04	1.64e-04	5.279500e-06
46	1.93e-04	1.58e-04	3.985215e-06
47	1.92e-04	1.53e-04	2.917546e-06
48	1.91e-04	1.56e-04	2.081694e-06
49	1.90e-04	1.58e-04	1.481731e-06
50	1.90e-04	1.59e-04	1.120580e-06
