epoch	train_loss	val_loss	lr
1	1.91e-03	6.57e-04	2.000000e-05
2	2.00e-03	6.19e-04	4.000000e-05
3	1.98e-03	5.88e-04	6.000000e-05
4	1.93e-03	5.58e-04	8.000000e-05
5	1.78e-03	1.48e-03	1.000000e-04
6	1.87e-03	7.84e-04	1.000000e-04
7	1.89e-03	6.41e-04	9.987942e-05
8	1.71e-03	6.29e-04	9.951827e-05
9	1.74e-03	6.14e-04	9.891831e-05
10	1.84e-03	5.79e-04	9.808245e-05
11	1.81e-03	7.05e-04	9.701478e-05
12	1.75e-03	6.86e-04	9.572050e-05
13	1.78e-03	6.32e-04	9.420591e-05
14	1.76e-03	5.19e-04	9.247838e-05
15	1.79e-03	6.65e-04	9.054634e-05
16	1.81e-03	6.44e-04	8.841920e-05
17	1.78e-03	5.72e-04	8.610732e-05
18	1.75e-03	7.01e-04	8.362197e-05
19	1.79e-03	5.65e-04	8.097524e-05
20	1.74e-03	4.85e-04	7.818005e-05
21	1.71e-03	4.61e-04	7.525000e-05
22	1.69e-03	4.24e-04	7.219937e-05
23	1.69e-03	4.01e-04	6.904303e-05
24	1.66e-03	4.67e-04	6.579634e-05
25	1.70e-03	3.78e-04	6.247513e-05
26	1.64e-03	3.68e-04	5.909558e-05
27	1.63e-03	3.26e-04	5.567416e-05
28	1.62e-03	4.64e-04	5.222753e-05
29	1.64e-03	3.32e-04	4.877247e-05
30	1.56e-03	3.81e-04	4.532584e-05
31	1.56e-03	3.63e-04	4.190442e-05
32	1.56e-03	3.45e-04	3.852487e-05
33	1.59e-03	3.34e-04	3.520366e-05
34	1.58e-03	3.31e-04	3.195697e-05
35	1.57e-03	3.18e-04	2.880063e-05
36	1.56e-03	3.35e-04	2.575000e-05
37	1.58e-03	3.32e-04	2.281995e-05
38	1.59e-03	3.31e-04	2.002476e-05
39	1.57e-03	3.31e-04	1.737803e-05
40	1.56e-03	3.43e-04	1.489268e-05
41	1.56e-03	3.58e-04	1.258080e-05
42	1.56e-03	3.36e-04	1.045366e-05
43	1.56e-03	3.39e-04	8.521619e-06
44	1.55e-03	3.39e-04	6.794094e-06
45	1.55e-03	3.36e-04	5.279500e-06
46	1.55e-03	3.35e-04	3.985215e-06
47	1.55e-03	3.34e-04	2.917546e-06
48	1.55e-03	3.35e-04	2.081694e-06
49	1.55e-03	3.35e-04	1.481731e-06
50	1.55e-03	3.35e-04	1.120580e-06
