"TEST_DATA_ID","TEST_ID","REQ_ID","LOC_ID","SOC","REMAIN_FULL_SOC_TIME","VOLTAGE","CURRENT","REGIST_DT"
"20323724","1918","1716189190","59","21.000","2520","334.60","0.00","2024-05-20 16:13:22"
"20323728","1918","1716189190","59","21.000","2520","334.80","0.00","2024-05-20 16:13:22"
"20323730","1918","1716189190","59","21.000","2520","334.90","6.90","2024-05-20 16:13:22"
"20323733","1918","1716189190","59","21.000","2520","334.80","5.80","2024-05-20 16:13:23"
"20323734","1918","1716189190","59","21.000","2520","334.80","5.90","2024-05-20 16:13:23"
"20323735","1918","1716189190","59","21.000","2520","334.90","7.10","2024-05-20 16:13:23"
"20323738","1918","1716189190","59","21.000","2520","335.00","8.90","2024-05-20 16:13:23"
"20323739","1918","1716189190","59","21.000","2520","335.10","11.80","2024-05-20 16:13:23"
"20323742","1918","1716189190","59","21.000","2520","335.30","14.30","2024-05-20 16:13:24"
"20323743","1918","1716189190","59","21.000","2520","335.40","16.20","2024-05-20 16:13:24"
"20323746","1918","1716189190","59","21.000","2520","335.60","18.00","2024-05-20 16:13:24"
"20323747","1918","1716189190","59","21.000","2520","335.80","19.90","2024-05-20 16:13:24"
"20323750","1918","1716189190","59","21.000","2520","336.00","22.80","2024-05-20 16:13:25"
"20323751","1918","1716189190","59","21.000","2520","336.10","24.80","2024-05-20 16:13:25"
"20323755","1918","1716189190","59","21.000","2520","336.30","26.80","2024-05-20 16:13:25"
"20323756","1918","1716189190","59","21.000","2520","336.50","29.30","2024-05-20 16:13:25"
"20323759","1918","1716189190","59","21.000","2520","336.70","31.20","2024-05-20 16:13:26"
"20323760","1918","1716189190","59","21.000","2520","336.90","33.90","2024-05-20 16:13:26"
"20323761","1918","1716189190","59","21.000","2520","337.10","35.80","2024-05-20 16:13:26"
"20323764","1918","1716189190","59","21.000","2520","337.30","37.80","2024-05-20 16:13:26"
"20323765","1918","1716189190","59","21.000","2520","337.40","39.80","2024-05-20 16:13:26"
"20323768","1918","1716189190","59","21.000","2520","337.60","41.80","2024-05-20 16:13:27"
"20323769","1918","1716189190","59","21.000","2520","337.80","44.70","2024-05-20 16:13:27"
"20323771","1918","1716189190","59","21.000","2520","338.00","47.00","2024-05-20 16:13:27"
"20323773","1918","1716189190","59","21.000","2520","338.20","49.00","2024-05-20 16:13:27"
"20323776","1918","1716189190","59","21.000","2520","338.30","50.90","2024-05-20 16:13:28"
"20323777","1918","1716189190","59","21.000","2520","338.50","52.80","2024-05-20 16:13:28"
"20323780","1918","1716189190","59","21.000","2520","338.70","55.80","2024-05-20 16:13:28"
"20323781","1918","1716189190","59","21.000","2520","338.90","58.00","2024-05-20 16:13:28"
"20323785","1918","1716189190","59","21.000","2520","339.10","60.10","2024-05-20 16:13:28"
"20323786","1918","1716189190","59","21.000","2520","339.30","62.00","2024-05-20 16:13:28"
"20323789","1918","1716189190","59","21.000","2520","339.50","63.90","2024-05-20 16:13:29"
"20323790","1918","1716189190","59","21.000","2520","339.70","66.80","2024-05-20 16:13:29"
"20323793","1918","1716189190","59","21.000","2520","340.00","68.90","2024-05-20 16:13:29"
"20323794","1918","1716189190","59","21.000","2520","340.20","70.90","2024-05-20 16:13:29"
"20323795","1918","1716189190","59","21.000","2520","340.40","72.90","2024-05-20 16:13:29"
"20323798","1918","1716189190","59","21.000","2520","340.60","74.90","2024-05-20 16:13:30"
"20323799","1918","1716189190","59","21.000","2520","340.80","77.80","2024-05-20 16:13:30"
"20323801","1918","1716189190","59","21.000","2520","341.00","80.10","2024-05-20 16:13:30"
"20323803","1918","1716189190","59","21.000","2520","341.20","82.00","2024-05-20 16:13:30"
"20323805","1918","1716189190","59","21.000","2520","341.40","83.90","2024-05-20 16:13:31"
"20323807","1918","1716189190","59","21.000","2520","341.50","85.90","2024-05-20 16:13:31"
"20323808","1918","1716189190","59","21.000","2520","341.80","88.80","2024-05-20 16:13:31"
"20323811","1918","1716189190","59","21.000","2520","342.00","91.10","2024-05-20 16:13:31"
"20323812","1918","1716189190","59","21.000","2520","342.20","93.20","2024-05-20 16:13:32"
"20323813","1918","1716189190","59","21.000","2520","342.40","95.00","2024-05-20 16:13:32"
"20323817","1918","1716189190","59","21.000","2520","342.50","96.90","2024-05-20 16:13:32"
"20323818","1918","1716189190","59","21.000","2520","342.70","99.80","2024-05-20 16:13:32"
"20323821","1918","1716189190","59","21.000","2520","342.90","101.80","2024-05-20 16:13:33"
"20323822","1918","1716189190","59","21.000","2520","343.10","104.30","2024-05-20 16:13:33"
"20323825","1918","1716189190","59","21.000","2520","343.30","106.10","2024-05-20 16:13:33"
"20323826","1918","1716189190","59","21.000","2520","343.50","108.00","2024-05-20 16:13:33"
"20323829","1918","1716189190","59","21.000","2520","343.70","108.60","2024-05-20 16:13:33"
"20323830","1918","1716189190","59","21.000","2520","343.80","109.00","2024-05-20 16:13:34"
"20323833","1918","1716189190","59","21.000","2520","343.90","109.30","2024-05-20 16:13:34"
"20323834","1918","1716189190","59","21.000","2520","344.00","109.50","2024-05-20 16:13:34"
"20323837","1918","1716189190","59","21.000","2520","344.00","109.70","2024-05-20 16:13:34"
"20323838","1918","1716189190","59","21.000","2520","344.10","109.80","2024-05-20 16:13:34"
"20323839","1918","1716189190","59","21.000","2520","344.10","109.90","2024-05-20 16:13:34"
"20323843","1918","1716189190","59","21.000","2520","344.20","109.90","2024-05-20 16:13:35"
"20323844","1918","1716189190","59","21.000","2520","344.20","110.00","2024-05-20 16:13:35"
"20323847","1918","1716189190","59","21.000","2520","344.30","110.00","2024-05-20 16:13:35"
"20323848","1918","1716189190","59","21.000","2520","344.30","110.00","2024-05-20 16:13:35"
"20323851","1918","1716189190","59","21.000","2520","344.30","110.00","2024-05-20 16:13:36"
"20323852","1918","1716189190","59","21.000","2520","344.40","110.00","2024-05-20 16:13:36"
"20323855","1918","1716189190","59","21.000","2520","344.40","110.00","2024-05-20 16:13:36"
"20323856","1918","1716189190","59","21.000","2520","344.40","110.00","2024-05-20 16:13:36"
"20323859","1918","1716189190","59","21.000","2520","344.40","110.00","2024-05-20 16:13:37"
"20323860","1918","1716189190","59","21.000","2520","344.40","110.00","2024-05-20 16:13:37"
"20323864","1918","1716189190","59","21.000","2520","344.50","110.00","2024-05-20 16:13:37"
"20323865","1918","1716189190","59","21.000","2520","344.50","110.00","2024-05-20 16:13:37"
"20323868","1918","1716189190","59","21.000","2520","344.50","110.00","2024-05-20 16:13:38"
"20323869","1918","1716189190","59","21.000","2520","344.60","110.00","2024-05-20 16:13:38"
"20323872","1918","1716189190","59","21.000","2520","344.60","110.00","2024-05-20 16:13:38"
"20323873","1918","1716189190","59","21.000","2520","344.60","110.00","2024-05-20 16:13:38"
"20323876","1918","1716189190","59","21.000","2520","344.60","110.00","2024-05-20 16:13:39"
"20323877","1918","1716189190","59","21.000","2520","344.60","110.00","2024-05-20 16:13:39"
"20323878","1918","1716189190","59","21.000","2520","344.70","110.00","2024-05-20 16:13:39"
"20323881","1918","1716189190","59","21.000","2520","344.70","110.00","2024-05-20 16:13:39"
"20323882","1918","1716189190","59","21.000","2520","344.70","110.00","2024-05-20 16:13:39"
"20323885","1918","1716189190","59","21.000","2520","344.70","110.00","2024-05-20 16:13:40"
"20323886","1918","1716189190","59","21.000","2520","344.80","110.00","2024-05-20 16:13:40"
"20323889","1918","1716189190","59","21.000","2520","344.80","110.00","2024-05-20 16:13:40"
"20323890","1918","1716189190","59","21.000","2520","344.80","110.00","2024-05-20 16:13:40"
"20323894","1918","1716189190","59","21.000","2520","344.80","110.00","2024-05-20 16:13:40"
"20323895","1918","1716189190","59","21.000","2520","344.90","110.00","2024-05-20 16:13:40"
"20323898","1918","1716189190","59","21.000","2520","344.90","110.00","2024-05-20 16:13:41"
"20323899","1918","1716189190","59","21.000","2520","344.90","110.00","2024-05-20 16:13:41"
"20323902","1918","1716189190","59","21.000","2520","344.90","110.00","2024-05-20 16:13:41"
"20323903","1918","1716189190","59","21.000","2520","344.90","110.00","2024-05-20 16:13:41"
"20323906","1918","1716189190","59","21.000","2520","345.00","110.00","2024-05-20 16:13:42"
"20323907","1918","1716189190","59","21.000","2520","345.00","110.00","2024-05-20 16:13:42"
"20323910","1918","1716189190","59","21.000","2520","345.00","110.00","2024-05-20 16:13:42"
"20323911","1918","1716189190","59","21.000","2520","345.00","110.00","2024-05-20 16:13:42"
"20323914","1918","1716189190","59","21.000","2520","345.10","110.00","2024-05-20 16:13:43"
"20323915","1918","1716189190","59","21.000","2520","345.10","110.00","2024-05-20 16:13:43"
"20323916","1918","1716189190","59","21.000","2520","345.10","110.00","2024-05-20 16:13:43"
"20323919","1918","1716189190","59","21.000","2520","345.10","110.00","2024-05-20 16:13:43"
"20323921","1918","1716189190","59","21.000","2520","345.10","110.00","2024-05-20 16:13:43"
"20323924","1918","1716189190","59","21.000","2520","345.20","110.00","2024-05-20 16:13:44"
"20323925","1918","1716189190","59","21.000","2520","345.20","110.00","2024-05-20 16:13:44"
"20323928","1918","1716189190","59","21.000","2520","345.20","110.00","2024-05-20 16:13:44"
"20323929","1918","1716189190","59","21.000","2520","345.20","110.00","2024-05-20 16:13:44"
"20323931","1918","1716189190","59","21.000","2520","345.20","110.00","2024-05-20 16:13:45"
"20323933","1918","1716189190","59","21.000","2520","345.30","110.00","2024-05-20 16:13:45"
"20323936","1918","1716189190","59","21.000","2520","345.30","110.00","2024-05-20 16:13:45"
"20323937","1918","1716189190","59","21.000","2520","345.30","110.00","2024-05-20 16:13:45"
"20323940","1918","1716189190","59","21.000","2520","345.30","110.00","2024-05-20 16:13:46"
"20323941","1918","1716189190","59","21.000","2520","345.30","110.00","2024-05-20 16:13:46"
"20323944","1918","1716189190","59","21.000","2520","345.40","110.00","2024-05-20 16:13:46"
"20323945","1918","1716189190","59","21.000","2520","345.40","110.00","2024-05-20 16:13:46"
"20323949","1918","1716189190","59","21.000","2520","345.40","110.00","2024-05-20 16:13:47"
"20323950","1918","1716189190","59","21.000","2520","345.40","110.00","2024-05-20 16:13:47"
"20323953","1918","1716189190","59","21.000","2520","345.40","110.00","2024-05-20 16:13:47"
"20323954","1918","1716189190","59","21.000","2520","345.50","110.00","2024-05-20 16:13:47"
"20323955","1918","1716189190","59","21.000","2520","345.50","110.00","2024-05-20 16:13:47"
"20323958","1918","1716189190","59","21.000","2520","345.50","110.00","2024-05-20 16:13:47"
"20323959","1918","1716189190","59","21.000","2520","345.50","110.00","2024-05-20 16:13:47"
"20323962","1918","1716189190","59","21.000","2520","345.50","110.00","2024-05-20 16:13:48"
"20323963","1918","1716189190","59","21.000","2520","345.60","110.00","2024-05-20 16:13:48"
"20323966","1918","1716189190","59","21.000","2520","345.60","110.00","2024-05-20 16:13:48"
"20323967","1918","1716189190","59","22.000","2520","345.60","110.00","2024-05-20 16:13:48"
"20323970","1918","1716189190","59","22.000","2520","345.60","110.00","2024-05-20 16:13:49"
"20323971","1918","1716189190","59","22.000","2520","345.60","110.00","2024-05-20 16:13:49"
"20323972","1918","1716189190","59","22.000","2520","345.60","110.00","2024-05-20 16:13:49"
"20323974","1918","1716189190","59","22.000","2520","345.70","110.00","2024-05-20 16:13:49"
"20323978","1918","1716189190","59","22.000","2520","345.70","110.00","2024-05-20 16:13:50"
"20323980","1918","1716189190","59","22.000","2520","345.70","110.00","2024-05-20 16:13:50"
"20323983","1918","1716189190","59","22.000","2520","345.70","110.00","2024-05-20 16:13:50"
"20323984","1918","1716189190","59","22.000","2520","345.70","110.00","2024-05-20 16:13:50"
"20323987","1918","1716189190","59","22.000","2520","345.80","110.00","2024-05-20 16:13:51"
"20323988","1918","1716189190","59","22.000","2520","345.80","110.00","2024-05-20 16:13:51"
"20323989","1918","1716189190","59","22.000","2520","345.80","110.00","2024-05-20 16:13:51"
"20323991","1918","1716189190","59","22.000","2520","345.80","110.00","2024-05-20 16:13:51"
"20323993","1918","1716189190","59","22.000","2520","345.80","110.00","2024-05-20 16:13:51"
"20323996","1918","1716189190","59","22.000","2520","345.90","110.00","2024-05-20 16:13:52"
"20323997","1918","1716189190","59","22.000","2520","345.90","110.00","2024-05-20 16:13:52"
"20324000","1918","1716189190","59","22.000","2520","345.90","110.00","2024-05-20 16:13:52"
"20324001","1918","1716189190","59","22.000","2520","345.90","110.00","2024-05-20 16:13:52"
"20324002","1918","1716189190","59","22.000","2520","345.90","110.00","2024-05-20 16:13:53"
"20324003","1918","1716189190","59","22.000","2520","346.00","110.00","2024-05-20 16:13:53"
"20324007","1918","1716189190","59","22.000","2520","346.00","110.00","2024-05-20 16:13:53"
"20324008","1918","1716189190","59","22.000","2520","346.00","110.00","2024-05-20 16:13:53"
"20324011","1918","1716189190","59","22.000","2520","346.00","110.00","2024-05-20 16:13:53"
"20324012","1918","1716189190","59","22.000","2520","346.00","110.00","2024-05-20 16:13:53"
"20324015","1918","1716189190","59","22.000","2520","346.00","110.00","2024-05-20 16:13:54"
"20324016","1918","1716189190","59","22.000","2520","346.10","110.00","2024-05-20 16:13:54"
"20324019","1918","1716189190","59","22.000","2520","346.10","110.00","2024-05-20 16:13:54"
"20324020","1918","1716189190","59","22.000","2520","346.10","110.00","2024-05-20 16:13:54"
"20324023","1918","1716189190","59","22.000","2520","346.10","110.00","2024-05-20 16:13:55"
"20324024","1918","1716189190","59","22.000","2520","346.10","110.00","2024-05-20 16:13:55"
"20324027","1918","1716189190","59","22.000","2520","346.10","110.00","2024-05-20 16:13:55"
"20324028","1918","1716189190","59","22.000","2520","346.20","110.00","2024-05-20 16:13:55"
"20324030","1918","1716189190","59","22.000","2520","346.20","110.00","2024-05-20 16:13:55"
"20324033","1918","1716189190","59","22.000","2520","346.20","110.00","2024-05-20 16:13:56"
"20324036","1918","1716189190","59","22.000","2520","346.20","110.00","2024-05-20 16:13:56"
"20324037","1918","1716189190","59","22.000","2520","346.20","110.00","2024-05-20 16:13:56"
"20324038","1918","1716189190","59","22.000","2520","346.20","110.00","2024-05-20 16:13:56"
"20324041","1918","1716189190","59","22.000","2520","346.30","110.00","2024-05-20 16:13:57"
"20324042","1918","1716189190","59","22.000","2520","346.30","110.00","2024-05-20 16:13:57"
"20324045","1918","1716189190","59","22.000","2520","346.30","110.00","2024-05-20 16:13:57"
"20324046","1918","1716189190","59","22.000","2520","346.30","110.00","2024-05-20 16:13:57"
"20324049","1918","1716189190","59","22.000","2520","346.30","110.00","2024-05-20 16:13:58"
"20324050","1918","1716189190","59","22.000","2520","346.30","110.00","2024-05-20 16:13:58"
"20324053","1918","1716189190","59","22.000","2520","346.40","110.00","2024-05-20 16:13:58"
"20324054","1918","1716189190","59","22.000","2520","346.40","110.00","2024-05-20 16:13:58"
"20324057","1918","1716189190","59","22.000","2520","346.40","110.00","2024-05-20 16:13:59"
"20324058","1918","1716189190","59","22.000","2520","346.40","110.00","2024-05-20 16:13:59"
"20324062","1918","1716189190","59","22.000","2520","346.40","110.00","2024-05-20 16:13:59"
"20324063","1918","1716189190","59","22.000","2520","346.40","110.00","2024-05-20 16:13:59"
"20324066","1918","1716189190","59","22.000","2520","346.40","110.00","2024-05-20 16:13:59"
"20324067","1918","1716189190","59","22.000","2520","346.50","110.00","2024-05-20 16:13:59"
"20324070","1918","1716189190","59","22.000","2520","346.50","110.00","2024-05-20 16:14:00"
"20324071","1918","1716189190","59","22.000","2520","346.50","110.00","2024-05-20 16:14:00"
"20324072","1918","1716189190","59","22.000","2520","346.50","110.00","2024-05-20 16:14:00"
"20324075","1918","1716189190","59","22.000","2520","346.50","110.00","2024-05-20 16:14:00"
"20324076","1918","1716189190","59","22.000","2520","346.50","110.00","2024-05-20 16:14:00"
"20324079","1918","1716189190","59","22.000","2520","346.50","110.00","2024-05-20 16:14:01"
"20324080","1918","1716189190","59","22.000","2520","346.60","110.00","2024-05-20 16:14:01"
"20324083","1918","1716189190","59","22.000","2520","346.60","110.00","2024-05-20 16:14:01"
